,player_name,start_date,tournament_id,tournament_name,event_type,tournament_start_date,course_name,round_id,green_id,green_name,hole_number,gir,par,sand,score,putts,in_position,tee_ball_location,approach_distance,putt_one_distance,putt_two_distance,putt_three_distance,putt_four_distance,putt_five_distance,second_shot,gir_of_third,go_for_location,lay_up_location,ball_position_x,ball_position_y,unit_system,distance_of_third,in_position_of_third,score_diff,scores_name
1340,Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7146,36068,Hole 18,18,false,4,false,5,3,true,fairway,130,30,5,1,,,,,,,0.953846153846154,0.6333333333333333,imperial,,,1,bogey
1341,Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7146,36067,Hole 17,17,true,3,,3,2,true,,190,9,3,,,,,,,,0.717948717948718,0.6538461538461539,imperial,,,0,par
1342,Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7146,36066,Hole 16,16,false,4,true,4,1,false,fairway,190,4,,,,,,,,,,,imperial,,,0,par
1343,Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7146,36065,Hole 15,15,false,4,true,5,2,true,fairway,190,6,1,,,,,,,,0.7461538461538462,0.8538461538461538,imperial,,,1,bogey
1344,Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7146,36064,Hole 14,14,,5,,6,2,,penalty,,7,3,,,,,,,,0.7512820512820513,0.9230769230769232,imperial,,,1,bogey
1345,Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7146,36063,Hole 13,13,true,3,,3,2,true,,160,30,3,,,,,,,,0.3025641025641025,0.958974358974359,imperial,,,0,par
1346,Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7146,36062,Hole 12,12,true,5,,4,2,true,fairway,250,28,1,,,,goFor,,,,0.6564102564102564,0.7025641025641025,imperial,,,-1,birdie
1347,Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7146,36061,Hole 11,11,true,4,,4,2,true,fairway,160,10,1,,,,,,,,0.4282051282051282,0.2846153846153846,imperial,,,0,par
1348,Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7146,36060,Hole 10,10,true,4,,4,2,true,fairway,96,16,3,,,,,,,,0.5769230769230769,0.3769230769230769,imperial,,,0,par
1349,Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7146,36059,Hole 9,9,true,5,,4,1,true,fairway,220,4,,,,,goFor,,,,0.4025641025641026,0.8076923076923077,imperial,,,-1,birdie
1350,Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7146,36058,Hole 8,8,true,3,,3,2,true,,160,22,1,,,,,,,,0.5051282051282051,0.5615384615384615,imperial,,,0,par
1351,Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7146,36057,Hole 7,7,false,4,false,4,2,true,fairway,109,25,10,,,,,,,,0.7589743589743589,0.946153846153846,imperial,,,0,par
1352,Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7146,36056,Hole 6,6,true,5,,4,2,true,fairway,224,30,3,,,,goFor,,,,0.5641025641025641,0.1282051282051282,imperial,,,-1,birdie
1353,Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7146,36055,Hole 5,5,false,4,false,5,2,true,trap,210,25,5,,,,,,,,,,imperial,,,1,bogey
1354,Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7146,36054,Hole 4,4,true,4,,3,1,true,fairway,55,10,,,,,,,,,0.558974358974359,0.7871794871794872,imperial,,,-1,birdie
1355,Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7146,36053,Hole 3,3,false,3,false,4,2,false,,210,14,1,,,,,,,,0.0615384615384615,0.8205128205128205,imperial,,,1,bogey
1356,Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7146,36052,Hole 2,2,true,4,,4,2,true,fairway,115,9,2,,,,,,,,0.7102564102564103,0.1615384615384615,imperial,,,0,par
1357,Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7146,36051,Hole 1,1,true,4,,3,1,true,fairway,135,2,,,,,,,,,0.5564102564102564,0.6564102564102564,imperial,,,-1,birdie
1322,Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7150,36068,Hole 18,18,true,4,,4,2,true,fairway,110,9,1,,,,,,,,0.5564102564102564,0.7666666666666667,imperial,,,0,par
1323,Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7150,36067,Hole 17,17,true,3,,3,2,true,,176,26,3,,,,,,,,0.1615384615384615,0.4743589743589743,imperial,,,0,par
1324,Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7150,36066,Hole 16,16,true,4,,4,2,true,fairway,190,25,4,,,,,,,,0.8128205128205128,0.6153846153846154,imperial,,,0,par
1325,Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7150,36065,Hole 15,15,false,4,true,5,2,true,fairway,180,25,3,,,,,,,,0.7538461538461538,0.982051282051282,imperial,,,1,bogey
1326,Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7150,36064,Hole 14,14,true,5,,5,3,true,fairway,209,27,5,1,,,goFor,,,,0.2461538461538461,0.558974358974359,imperial,,,0,par
1327,Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7150,36063,Hole 13,13,true,3,,3,2,true,,160,25,5,,,,,,,,0.358974358974359,0.617948717948718,imperial,,,0,par
1328,Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7150,36062,Hole 12,12,true,5,,4,2,true,fairway,180,14,1,,,,goFor,,,,0.6487179487179487,0.3692307692307692,imperial,,,-1,birdie
1329,Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7150,36061,Hole 11,11,true,4,,4,2,true,fairway,150,30,2,,,,,,,,0.6948717948717948,0.9512820512820512,imperial,,,0,par
1330,Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7150,36060,Hole 10,10,true,4,,4,2,true,fairway,120,19,3,,,,,,,,0.8256410256410256,0.6974358974358974,imperial,,,0,par
1331,Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7150,36059,Hole 9,9,true,5,,4,1,true,fairway,245,1,,,,,goFor,,,,,,imperial,,,-1,birdie
1332,Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7150,36058,Hole 8,8,true,3,,3,2,true,,165,22,1,,,,,,,,0.4512820512820513,0.3179487179487179,imperial,,,0,par
1333,Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7150,36057,Hole 7,7,true,4,,4,2,true,fairway,115,20,5,,,,,,,,0.5512820512820513,0.3076923076923077,imperial,,,0,par
1334,Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7150,36056,Hole 6,6,true,5,,5,2,true,fairway,200,6,1,,,,goFor,,,,0.4974358974358974,0.9692307692307692,imperial,,,0,par
1335,Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7150,36055,Hole 5,5,true,4,,4,2,true,fairway,160,23,3,,,,,,,,0.676923076923077,0.9025641025641026,imperial,,,0,par
1336,Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7150,36054,Hole 4,4,true,4,,4,2,true,fairway,60,9,1,,,,,,,,0.6564102564102564,0.2897435897435897,imperial,,,0,par
1337,Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7150,36053,Hole 3,3,false,3,false,4,2,false,,190,7,1,,,,,,,,0.0641025641025641,0.7282051282051282,imperial,,,1,bogey
1338,Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7150,36052,Hole 2,2,true,4,,5,3,true,trap,130,45,10,1,,,,,,,0.5205128205128206,0.3461538461538461,imperial,,,1,bogey
1339,Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7150,36051,Hole 1,1,true,4,,4,2,true,fairway,135,2,,,,,,,,,0.5564102564102564,0.6564102564102564,imperial,,,-1,birdie
1304,Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7151,36068,Hole 18,18,true,4,,4,2,true,fairway,25,10,1,,,,,,,,0.3743589743589743,0.1589743589743589,imperial,,,0,par
1305,Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7151,36067,Hole 17,17,true,3,,3,2,true,,135,30,1,,,,,,,,0.5846153846153846,0.2615384615384615,imperial,,,0,par
1306,Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7151,36066,Hole 16,16,true,4,,4,2,true,fairway,50,20,4,,,,,,,,0.7487179487179487,0.3871794871794872,imperial,,,0,par
1307,Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7151,36065,Hole 15,15,false,4,true,5,2,true,fairway,180,5,1,,,,,,,,0.8564102564102564,0.4615384615384615,imperial,,,1,bogey
1308,Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7151,36064,Hole 14,14,true,5,,4,2,true,fairway,217,26,1,,,,goFor,,,,0.441025641025641,0.1743589743589743,imperial,,,-1,birdie
1309,Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7151,36063,Hole 13,13,true,3,,3,2,true,,160,25,1,,,,,,,,0.5948717948717949,0.4487179487179487,imperial,,,0,par
1310,Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7151,36062,Hole 12,12,true,5,,6,3,true,fairway,290,20,4,1,,,goFor,,,,0.3871794871794872,0.3743589743589743,imperial,,,1,bogey
1311,Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7151,36061,Hole 11,11,true,4,,4,2,true,fairway,109,10,1,,,,,,,,0.4641025641025641,0.5025641026,imperial,,,0,par
1312,Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7151,36060,Hole 10,10,true,4,,4,2,true,fairway,45,26,6,,,,,,,,0.4333333333333333,0.141025641,imperial,,,0,par
1313,Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7151,36059,Hole 9,9,true,5,,5,2,true,fairway,267,14,1,,,,goFor,,,,0.5230769230769231,0.3256410256410256,imperial,,,0,par
1314,Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7151,36058,Hole 8,8,true,3,,2,1,true,,155,10,,,,,,,,,0.5769230769230769,0.4256410256410256,imperial,,,-1,birdie
1315,Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7151,36057,Hole 7,7,true,4,,4,2,true,fairway,70,24,1,,,,,,,,0.482051282051282,0.3717948717948718,imperial,,,0,par
1316,Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7151,36056,Hole 6,6,true,5,,5,2,,penalty,,15,1,,,,,,,,0.7923076923076923,0.2282051282051282,imperial,,,1,bogey
1317,Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7151,36055,Hole 5,5,true,4,,4,2,true,fairway,167,16,5,,,,,,,,0.3102564102564102,0.1153846153846153,imperial,,,0,par
1318,Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7151,36054,Hole 4,4,true,4,,4,2,true,fairway,54,28,1,,,,,,,,0.4487179487179487,0.1,imperial,,,0,par
1319,Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7151,36053,Hole 3,3,true,3,,3,2,true,,190,22,3,,,,,,,,0.4897435897435897,0.5025641025641026,imperial,,,0,par
1320,Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7151,36052,Hole 2,2,false,4,true,5,2,false,fairway,134,13,1,,,,,,,,0.3307692307692307,0.964102564102564,imperial,,,1,bogey
1321,Joe Pagdin,2025-02-24,3797,Lake Las Vegas 2025,tournament,2025-02-24,Reflection Bay Golf Club,7151,36051,Hole 1,1,true,4,,3,1,true,fairway,109,1,,,,,,,,,0.735897435897436,0.3256410256410256,imperial,,,-1,birdie
