course_name,hole_number,par,yardage
Reflection Bay Golf Club,1,4,393
Reflection Bay Golf Club,2,4,389
Reflection Bay Golf Club,3,3,000
Reflection Bay Golf Club,4,4,414
Reflection Bay Golf Club,5,4,457
Reflection Bay Golf Club,6,5,544
Reflection Bay Golf Club,7,4,442
Reflection Bay Golf Club,8,3,000
Reflection Bay Golf Club,9,5,561
Reflection Bay Golf Club,10,4,424
Reflection Bay Golf Club,11,4,412
Reflection Bay Golf Club,12,5,596
Reflection Bay Golf Club,13,3,000
Reflection Bay Golf Club,14,5,528
Reflection Bay Golf Club,15,4,455
Reflection Bay Golf Club,16,4,452
Reflection Bay Golf Club,17,3,000
Reflection Bay Golf Club,18,4,429